Location,UVIndexScore
I20,3.1818181818181825
I21,4.1477272727272725
I22,3.0113636363636367
I23,4.034090909090909
I24,3.579545454545455
I25,3.8636363636363646
I26,3.8636363636363646
I27,6.25
I28,3.1818181818181825
I29,3.465909090909091
I30,3.9772727272727275
I31,4.9431818181818175
I32,7.102272727272727
I33,6.3068181818181825
I34,5.397727272727273
I35,7.159090909090908
I36,2.329545454545454
I37,2.6136363636363633
I38,5.965909090909091
I39,4.204545454545454
I40,5.681818181818182
I41,6.193181818181818
I42,1.0227272727272732
I43,4.431818181818182
I44,2.8409090909090913
I45,4.602272727272728
I46,5.738636363636365
I47,3.579545454545455
I48,3.9772727272727275
I49,3.352272727272727
I50,2.9545454545454546
J1,2.5568181818181817
J2,6.59090909090909
J3,5.340909090909092
J4,2.8409090909090913
J5,2.6136363636363633
J6,3.6363636363636367
J7,7.727272727272727
J8,3.0681818181818175
J9,3.465909090909091
J10,2.78409090909091
J11,5.397727272727273
J12,2.9545454545454546
J13,5.284090909090908
J14,3.1818181818181825
J15,4.9431818181818175
J16,2.5568181818181817
J17,2.215909090909091
J18,4.715909090909091
J19,3.806818181818181
J20,3.8636363636363646
J21,4.602272727272728
J22,2.8409090909090913
J23,5.227272727272727
J24,6.875000000000001
J25,4.034090909090909
J26,4.318181818181818
J27,7.272727272727272
J28,1.3636363636363642
J29,4.431818181818182
J30,5.625
J31,1.193181818181818
J32,8.352272727272728
J33,1.5340909090909087
J34,3.9772727272727275
J35,0.6818181818181821
J36,6.420454545454545
J37,2.215909090909091
J38,5.227272727272727
J39,3.5227272727272734
J40,6.136363636363637
J41,3.579545454545455
J42,3.806818181818181
J43,1.875
J44,5.000000000000001
J45,5.397727272727273
J46,4.034090909090909
J47,2.443181818181819
J48,4.772727272727273
J49,4.659090909090909
J50,3.579545454545455
K1,4.9431818181818175
K2,4.488636363636363
K3,2.6704545454545454
K4,6.193181818181818
K5,3.5227272727272734
K6,4.659090909090909
K7,2.5000000000000004
K8,2.0454545454545463
K9,4.034090909090909
K10,4.1477272727272725
K11,2.8409090909090913
K12,5.227272727272727
K13,5.625
K14,5.738636363636365
K15,4.431818181818182
K16,3.9772727272727275
K17,3.6363636363636367
K18,5.5681818181818175
K19,5.852272727272727
K20,5.625
K21,5.625
K22,8.579545454545453
K23,1.5909090909090906
K24,5.397727272727273
K25,4.602272727272728
K26,2.5000000000000004
K27,3.1818181818181825
K28,4.034090909090909
K29,1.7613636363636367
K30,5.454545454545455
K31,4.1477272727272725
K32,4.772727272727273
K33,3.920454545454546
K34,2.78409090909091
K35,6.59090909090909
K36,4.715909090909091
K37,3.579545454545455
K38,2.1022727272727275
K39,4.090909090909091
K40,2.9545454545454546
K41,2.78409090909091
K42,3.75
K43,5.227272727272727
K44,2.159090909090909
K45,4.659090909090909
K46,6.59090909090909
K47,2.443181818181819
K48,5.5681818181818175
K49,4.715909090909091
K50,2.6704545454545454
L1,4.772727272727273
L2,5.0568181818181825
L3,5.5681818181818175
L4,4.488636363636363
L5,3.920454545454546
L6,4.318181818181818
L7,2.215909090909091
L8,5.000000000000001
L9,1.5909090909090906
L10,5.5681818181818175
L11,5.113636363636363
L12,1.7613636363636367
L13,3.5227272727272734
L14,4.9431818181818175
L15,4.488636363636363
L16,1.9886363636363633
L17,6.647727272727274
L18,5.0568181818181825
L19,5.852272727272727
L20,3.5227272727272734
L21,4.659090909090909
L22,4.318181818181818
L23,3.6363636363636367
L24,4.318181818181818
L25,5.5681818181818175
L26,4.318181818181818
L27,5.454545454545455
L28,4.9431818181818175
L29,6.875000000000001
L30,2.0454545454545463
L31,7.5568181818181825
L32,4.431818181818182
L33,3.75
L34,5.454545454545455
L35,4.659090909090909
L36,2.159090909090909
L37,3.75
L38,4.431818181818182
L39,2.443181818181819
L40,4.886363636363636
L41,7.272727272727272
