Location,Leefbaarheidsindex
E42,7.141419256081456
E43,7.235980095596762
E44,6.673854916945035
E45,7.702
E46,6.7045608452584995
E47,6.504560845258499
E48,6.5445608452585
E49,7.53224251272647
E50,7.35422785693899
F1,7.417635024624588
F2,6.8745608452585
F3,8.208197127384144
F4,6.204613308782785
F5,6.204613308782785
F6,7.272255261310422
F7,7.0245608452585
F8,6.9245608452585
F9,7.96
F10,7.405398264210003
F11,6.024613308782786
F12,6.8745608452585
F13,7.514019425758962
F14,6.204613308782785
F15,5.264020541879556
F16,7.633662010046152
F17,5.064020541879556
F18,7.5
F19,7.892
F20,7.716351375047246
F21,6.9045608452585
F22,6.364613308782785
F23,6.3245608452585005
F24,5.664020541879556
F25,7.279635024624589
F26,6.5445608452585
F27,6.624613308782786
F28,7.202101259816257
F29,5.774613308782785
F30,7.838822423402784
F31,5.824613308782785
F32,5.264020541879556
F33,7.7
F34,6.024613308782786
F35,5.264020541879556
F36,6.504560845258499
F37,6.754613308782785
F38,7.879635024624589
F39,6.2845608452585004
F40,6.9245608452585
F41,7.679635024624589
F42,7.6176350246245885
F43,5.064020541879556
F44,6.6845608452585
F45,6.9345608452585
F46,6.937121819915401
F47,5.014020541879556
F48,6.9245608452585
F49,6.204613308782785
F50,6.3445608452585
G1,7.908582765267779
G2,7.070923250392431
G3,6.2145608452585
G4,7.0045608452585
G5,7.204513142404491
G6,7.1245608452585
G7,6.930255261310421
G8,6.024613308782786
G9,6.396613308782786
G10,7.160419666835268
G11,6.6745608452585
G12,6.9445608452585
G13,7.499995073077383
G14,7.3840733033414
G15,6.7045608452584995
G16,6.9445608452585
G17,6.9245608452585
G18,7.1245608452585
G19,6.804613308782786
G20,5.064020541879556
G21,7.0545608452585
G22,6.824613308782785
G23,8.267635024624589
G24,6.7845608452585
G25,7.332069067979646
G26,6.204613308782785
G27,6.264020541879557
G28,8.45
G29,6.9245608452585
G30,6.104613308782786
G31,6.004613308782785
G32,6.224613308782786
G33,8.50636899657075
G34,6.8645608452585005
G35,7.504560845258499
G36,6.6845608452585
G37,7.344560845258499
G38,6.804613308782786
G39,6.73188004197676
G40,6.9445608452585
G41,6.144613308782786
G42,7.279635024624589
G43,6.9045608452585
G44,6.9045608452585
G45,7.359548251295591
G46,6.9245608452585
G47,7.267635024624589
G48,6.7245608452585
G49,7.482214032237014
G50,8.161759483047168
H1,6.956143281160285
H2,6.624613308782786
H3,5.664020541879556
H4,7.303137525802683
H5,6.224613308782786
H6,6.204613308782785
H7,6.024613308782786
H8,7.393308359428719
H9,6.396613308782786
H10,7.639851787137879
H11,6.554613308782786
H12,7.207635024624588
H13,7.6196229113393965
H14,7.2845608452585004
